2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=503 | SECTION=0 | START_TIME=2024-06-20 07:09:03 | LOG_ENTRY=데이터 개수가 1여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=504 | SECTION=0 | START_TIME=2024-06-20 07:22:44 | LOG_ENTRY=데이터 개수가 1여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=506 | SECTION=0 | START_TIME=2024-06-20 07:40:57 | LOG_ENTRY=데이터 개수가 1여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=507 | SECTION=0 | START_TIME=2024-06-20 07:50:10 | LOG_ENTRY=데이터 개수가 1여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=508 | SECTION=0 | START_TIME=2024-06-20 08:16:44 | LOG_ENTRY=데이터 개수가 2여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=509 | SECTION=0 | START_TIME=2024-06-20 08:29:48 | LOG_ENTRY=데이터 개수가 1여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=510 | SECTION=0 | START_TIME=2024-06-20 08:32:53 | LOG_ENTRY=데이터 개수가 1여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=511 | SECTION=0 | START_TIME=2024-06-20 08:34:22 | LOG_ENTRY=데이터 개수가 2여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=514 | SECTION=0 | START_TIME=2024-06-20 17:47:42 | LOG_ENTRY=데이터 개수가 15여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=515 | SECTION=0 | START_TIME=2024-06-20 18:03:29 | LOG_ENTRY=데이터 개수가 80여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=516 | SECTION=0 | START_TIME=2024-06-20 19:24:38 | LOG_ENTRY=데이터 개수가 42여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=517 | SECTION=0 | START_TIME=2024-06-20 20:08:46 | LOG_ENTRY=데이터 개수가 14여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:50:05 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=519 | SECTION=0 | START_TIME=2024-06-20 20:27:07  | LOG_ENTRY=전처리 후 모델 데이터 프레임이 존재하지 않아 통계 알고리즘만 단독으로 진행합니다. | TYPE=STATS | is_processed=True
2024-11-07 13:50:05 - INFO - SHIP_ID=T170524-00102 | OP_INDEX=74 | SECTION=0 | START_TIME=2024-06-07 15:58:37 | LOG_ENTRY=데이터 개수가 69여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:50:05 - INFO - SHIP_ID=T170524-00102 | OP_INDEX=75 | SECTION=0 | START_TIME=2024-06-07 17:14:46 | LOG_ENTRY=데이터 개수가 99여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:50:05 - INFO - SHIP_ID=T170524-00102 | OP_INDEX=76 | SECTION=0 | START_TIME=2024-06-07 19:00:56 | LOG_ENTRY=데이터 개수가 97여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:50:14 - INFO - SHIP_ID=T170524-00102 | OP_INDEX=77 | SECTION=0 | START_TIME=2024-06-07 20:44:02  | LOG_ENTRY=전처리 후 모델 데이터 프레임이 존재하지 않아 통계 알고리즘만 단독으로 진행합니다. | TYPE=STATS | is_processed=True
2024-11-07 13:50:14 - INFO - SHIP_ID=T170524-00102 | OP_INDEX=78 | SECTION=0 | START_TIME=2024-06-11 08:50:18 | LOG_ENTRY=데이터 개수가 14여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:50:14 - INFO - SHIP_ID=T170524-00102 | OP_INDEX=79 | SECTION=0 | START_TIME=2024-06-11 09:04:56 | LOG_ENTRY=데이터 개수가 150여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
